Id,Name,ICAO,IATA,Manufacturer,Engines,WeightCategory,MaxCeiling,MaxSpeed,MaxRange,MaxPassengers,OEW,MZFW,MTOW,MLW,FuelCapacity
,AN-124,A124,A4F,Antonov,RB211-52H-T,H,,,,,,,,,
,AN-140,A140,A40,Antonov,,,,,,,,,,,
,AN-148,A148,A81,Antonov,,,,,,,,,,,
,A319neo,A19N,31N,Airbus,PW1000G,M,,,,,,,,,
,A320neo,A20N,32N,Airbus,PW1000G,M,,,,,,,,,
,A321neo,A21N,32Q,Airbus,PW1000G,M,,,,,,,,,
,A300F4-600,A306,AB6,Airbus,CF6-80C2A5,H,40000,481,4050,345,90900,129999,170460,139978,30890
,A300-600,A306,ABY,Airbus,,,,,,,,,,,
,A300-600,A306,AB3,Airbus,,,,,,,,,,,
,A300C4-600,A30B,ABF,Airbus,,,,,,,,,,,
,A300F4-600,A30F,ABX,Airbus,,,,,,,,,,,
,A310-304,A310,313,Airbus,CF6+E60-80C2A2,H,41000,486,4350,240,87224,114019,157027,124021,60392
,A310-304,A310,310,Airbus,,,,,,,,,,,
,A310-300F,A310,31Y,Airbus,,,,,,,,,,,
,A310-300F,A310,31F,Airbus,,,,,,,,,,,
,A318-100,A318,318,AIrbus,CFM56-5B9/P,M,40000,470,3100,136,37416,54500,68000,57500,19323
,A318-100,A318,32C,Airbus,CFM56-5B9/P,M,,,,,,,,,
,A319-100,A319,319,Airbus,CFM56-5B6/2P,M,41000,470,3700,145,42262,58500,76500,62500,19323
,A319-100,A319,32D,Airbus,CFM56-5B6/2P,M,,,,,,,,,
,A320-200,A320,320,Airbus,CFM56-5B4/P,M,41000,487,3750,180,43780,62500,78000,66000,19323
,A320-200,A320,32A,Airbus,CFM56-5B4/P,M,,,,,,,,,
,A320-200,A320,32S,Airbus,,,,,,,,,,,
,A320-200,A320,32X,Airbus,,,,,,,,,,,
,A320-200,A320,32R,Airbus,,,,,,,,,,,
,A320-200,A320,32F,Airbus,,,,,,,,,,,
,A321-200,A321,321,Airbus,CFM56-5B3/P,M,40000,473,4000,220,49188,73800,93500,77800,21364
,A321-200,A321,32B,Airbus,CFM56-5B3/P,M,,,,,,,,,
,A321-200,A321,32B,Airbus,,,,,,,,,,,
,A330-200,A332,332,Airbus,CF6-80E1A4,H,41000,492,7250,293,122585,169999,232999,182000,111272
,A330-200F,A332,33X,Airbus,CF6-80E1A4,H,,,,,,,,,
,A330-200F,A332,33X,Airbus,,,,,,,,,,,
,A330-300F,A332,33F,Airbus,,,,,,,,,,,
,A330-300,A333,333,Airbus,RR Trent 772B,H,41000,492,6350,335,127303,175000,232999,187000,78024
,A330-300,A333,33Y,Airbus,,,,,,,,,,,
,A330-800neo,A338,338,Airbus,Trent 7000,H,,,,,,,,,
,A330-900neo,A339,339,Airbus,Trent 7000,H,,,,,,,,,
,A340-200,A340,340,Airbus,,,,,,,,,,,
,A340-200,A342,342,Airbus,CFM56-5C2,H,41500,,6700,261,132046,169000,259999,181000,110402
,A340-300,A343,343,Airbus,CFM56-5C4,H,41500,,7300,277,133180,177999,270999,190000,109500
,A340-500,A345,345,Airbus,RB211 Trent 556-61,H,41500,,9000,293,175793,232000,379999,246000,172576
,A340-600,A346,346,Airbus,RB211 Trent 556-61,H,41500,,7800,316,182581,251000,379999,265000,164019
,A350-900,A359,359,Airbus,TRENT XWB-84,H,43000,,8100,315,141778,195700,268000,207000,108330
,A350-1000,A35K,351,Airbus,TRENT XWB-97,H,41500,,8700,369,158107,220000,308000,233000,122460
,A380-800,A388,388,Airbus,RR Trent 900,J,43000,,,471,271475,366003,568986,390996,256279
,A380-800,A388,380,Airbus,,,,,,,,,,,
,AN-12,AN12,ANF,Antonov,,,,,,,,,,,
,AN-24,AN24,AN4,Antonov,,,,,,,,,,,
,AN-26,AN26,A26,Antonov,,,,,,,,,,,
,Antonov AN-32,AN32,A32,Antonov,,,,,,,,,,,
,Eurocopter AS350 Écureuil,AS50,NDE,Eurocopter,,,,,,,,,,,
,ATR 42-300,AT43,AT4,ATR,,,,,,,,,,,
,ATR 42-500,AT45,AT5,ATR,PW127M,M,,,,,,,,,
,ATR 42-500,AT45,AT5,ATR,,,,,,,,,,,
,ATR 72-200,AT46,ATR,ATR,,,,,,,,,,,
,ATR 42-300,AT46,AT4,ATR,,,,,,,,,,,
,ATR 72-500,AT72,AT7,ATR,PWF 127F,,,,,,,,,,
,ATR 72F,AT72,ATF,ATR,,,,,,,,,,,
,ATR 72-500,AT75,AT7,ATR,PWF 127F,M,25000,309,2065,74,13345,21001,22498,21999,4990
,ATR 72-500,AT75,ATR,ATR,PWF 127F,,,,,,,,,,
,ATR 72-600,AT76,ATR,ATR,,,,,,,,,,,
,B1900D,B190,BEH,Beechcraft,PT6A-67D,M,25000,,,18,4852,6879,7765,7618,2034
,B1900D,B190,BE1,Beechcraft,PT6A-67D,,,,,,,,,,
,B1900C,B190,BES,Beechcraft,,,,,,,,,,,
,Bell 212,B212,BH2,Bell Helicopter,,,,,,,,,,,
,B350 Kingair,B350,BET,Beechcraft,PT6A-60A,L,35000,320,1550,12,4294,5670,6804,6577,1633
,B350 Kingair,B350,B56,Beechcraft,PT6A-60A,,,,,,,,,,
,B7737 Max 7,B37M,7M7,Boeing,LEAP-1B,M,41000,,,,,,,,
,B737 Max 8,B38M,7M8,Boeing,LEAP-1B,M,41000,,,,,,,,
,B737 Max 9,B39M,7M9,Boeing,LEAP-1B,M,41000,,,,,,,,
,B737 Max 10,B3XM,7MJ,Boeing,LEAP-1B,M,41000,,,204,,,,,
,BAE 146-100,B436,141,BAE Systems,ALF 502,M,31000,404,1800,108,24915,36514,44225,38329,9163
,BAE 146-100,B436,146,BAE Systems,ALF 502,,,,,,,,,,
,BAE 146-200,B462,142,BAE Systems,ALF 502R-5,M,,,,,,,,,
,BAE 146-300,B463,143,BAE Systems,ALF 502R-5,,,,,,,,,,
,BAE 146F,B463,14Z,BAE Systems,ALF 502R-5,,,,,,,,,,
,BAE 146F,B463,14Y,BAE Systems,ALF 502R-5,,,,,,,,,,
,B747-8F,B48F,74N,Boeing,GENX-2B67,H,43000,,,25,197131,239761,447695,346091,181536
,B707-320B,B703,703,Boeing,JT3D,M,42000,,,189,67494,88450,151318,97522,72575
,B717-200,B712,717,Boeing,BR715-C1-30,M,37000,,,134,30909,45586,54885,49895,11848
,B727-200,B722,722,Boeing,JT8D ,M,42000,,,134,45858,63321,95028,72575,32160
,B727-200F,B722,72Y,Boeing,JT8D ,,,,,,,,,,
,B727-200F,B722,72F,Boeing,JT8D ,,,,,,,,,,
,B737-100,B731,731,Boeing,,,,,,,,,,,
,B737-200,B732,721,Boeing,JT8D-15A,M,37000,,,130,29614,43091,53070,47627,15682
,B737-200F,B732,73X,Boeing,JT8D-15A,,,,,,,,,,
,B737-300,B733,733,Boeing,CFM56-3C-1,M,37000,,,128,33761,49668,63276,52889,20105
